dataset,type,function,run,time,size
A,bin,write,142,5,122
A,bin,read,142,7,122
A,xml,write,142,8,316
A,xml,read,142,11,316
A,xml.gz,write,142,15,57
A,xml.gz,read,142,14,57
A,bin,write,143,4,122
A,bin,read,143,8,122
A,xml,write,143,7,316
A,xml,read,143,12,316
A,xml.gz,write,143,18,57
A,xml.gz,read,143,15,57
A,bin,write,144,5,122
A,bin,read,144,7,122
A,xml,write,144,8,316
A,xml,read,144,11,316
A,xml.gz,write,144,15,57
A,xml.gz,read,144,14,57
A,bin,write,145,5,122
A,bin,read,145,7,122
A,xml,write,145,18,316
A,xml,read,145,11,316
A,xml.gz,write,145,15,57
A,xml.gz,read,145,15,57
A,bin,write,146,5,122
A,bin,read,146,7,122
A,xml,write,146,8,316
A,xml,read,146,14,316
A,xml.gz,write,146,15,57
A,xml.gz,read,146,15,57
A,bin,write,147,4,122
A,bin,read,147,8,122
A,xml,write,147,10,316
A,xml,read,147,12,316
A,xml.gz,write,147,18,57
A,xml.gz,read,147,15,57
A,bin,write,148,4,122
A,bin,read,148,8,122
A,xml,write,148,7,316
A,xml,read,148,12,316
A,xml.gz,write,148,15,57
A,xml.gz,read,148,14,57
A,bin,write,149,5,122
A,bin,read,149,7,122
A,xml,write,149,8,316
A,xml,read,149,11,316
A,xml.gz,write,149,15,57
A,xml.gz,read,149,15,57
A,bin,write,150,4,122
A,bin,read,150,8,122
A,xml,write,150,7,316
A,xml,read,150,11,316
A,xml.gz,write,150,16,57
A,xml.gz,read,150,14,57
A,bin,write,151,5,122
A,bin,read,151,7,122
A,xml,write,151,8,316
A,xml,read,151,11,316
A,xml.gz,write,151,18,57
A,xml.gz,read,151,17,57
A,bin,write,152,4,122
A,bin,read,152,8,122
A,xml,write,152,8,316
A,xml,read,152,11,316
A,xml.gz,write,152,15,57
A,xml.gz,read,152,15,57
A,bin,write,153,4,122
A,bin,read,153,8,122
A,xml,write,153,8,316
A,xml,read,153,11,316
A,xml.gz,write,153,15,57
A,xml.gz,read,153,15,57
A,bin,write,154,4,122
A,bin,read,154,8,122
A,xml,write,154,7,316
A,xml,read,154,10,316
A,xml.gz,write,154,16,57
A,xml.gz,read,154,14,57
A,bin,write,155,5,122
A,bin,read,155,7,122
A,xml,write,155,8,316
A,xml,read,155,12,316
A,xml.gz,write,155,18,57
A,xml.gz,read,155,16,57
A,bin,write,156,4,122
A,bin,read,156,9,122
A,xml,write,156,8,316
A,xml,read,156,11,316
A,xml.gz,write,156,15,57
A,xml.gz,read,156,14,57
A,bin,write,157,5,122
A,bin,read,157,7,122
A,xml,write,157,8,316
A,xml,read,157,11,316
A,xml.gz,write,157,14,57
A,xml.gz,read,157,15,57
A,bin,write,158,4,122
A,bin,read,158,8,122
A,xml,write,158,7,316
A,xml,read,158,11,316
A,xml.gz,write,158,15,57
A,xml.gz,read,158,15,57
A,bin,write,159,4,122
A,bin,read,159,19,122
A,xml,write,159,8,316
A,xml,read,159,13,316
A,xml.gz,write,159,15,57
A,xml.gz,read,159,15,57
A,bin,write,160,5,122
A,bin,read,160,7,122
A,xml,write,160,8,316
A,xml,read,160,11,316
A,xml.gz,write,160,15,57
A,xml.gz,read,160,15,57
A,bin,write,161,4,122
A,bin,read,161,8,122
A,xml,write,161,8,316
A,xml,read,161,13,316
A,xml.gz,write,161,15,57
A,xml.gz,read,161,15,57
A,bin,write,162,4,122
A,bin,read,162,8,122
A,xml,write,162,8,316
A,xml,read,162,11,316
A,xml.gz,write,162,15,57
A,xml.gz,read,162,15,57
A,bin,write,163,4,122
A,bin,read,163,8,122
A,xml,write,163,7,316
A,xml,read,163,12,316
A,xml.gz,write,163,17,57
A,xml.gz,read,163,16,57
A,bin,write,164,4,122
A,bin,read,164,8,122
A,xml,write,164,8,316
A,xml,read,164,11,316
A,xml.gz,write,164,15,57
A,xml.gz,read,164,15,57
A,bin,write,165,4,122
A,bin,read,165,8,122
A,xml,write,165,7,316
A,xml,read,165,11,316
A,xml.gz,write,165,15,57
A,xml.gz,read,165,15,57
A,bin,write,166,5,122
A,bin,read,166,7,122
A,xml,write,166,8,316
A,xml,read,166,11,316
A,xml.gz,write,166,15,57
